year,age_group,sex,population
2019,0-4,Female,589563.0
2019,0-4,Male,612613.0
2019,10-14,Female,607281.0
2019,10-14,Male,629243.0
2019,15-19,Female,625645.0
2019,15-19,Male,647322.0
2019,20-24,Female,711606.0
2019,20-24,Male,735379.0
2019,25-29,Female,800590.0
2019,25-29,Male,827193.0
2019,30-34,Female,745995.0
2019,30-34,Male,769391.0
2019,35-39,Female,691342.0
2019,35-39,Male,705386.0
2019,40-44,Female,663414.0
2019,40-44,Male,665145.0
2019,45-49,Female,627382.0
2019,45-49,Male,616547.0
2019,5-9,Female,626150.0
2019,5-9,Male,649322.0
2019,50-54,Female,620912.0
2019,50-54,Male,597164.0
2019,55-59,Female,577392.0
2019,55-59,Male,540699.0
2019,60-64,Female,505861.0
2019,60-64,Male,458457.0
2019,65-69,Female,416071.0
2019,65-69,Male,361643.0
2019,70-74,Female,306258.0
2019,70-74,Male,251433.0
2019,75-79,Female,229448.0
2019,75-79,Male,168861.0
2019,80+,Female,338167.0
2019,80+,Male,188341.0
2020,0-4,Female,583854.0
2020,0-4,Male,606528.0
2020,10-14,Female,621419.0
2020,10-14,Male,643850.0
2020,15-19,Female,619434.0
2020,15-19,Male,640628.0
2020,20-24,Female,710171.0
2020,20-24,Male,733010.0
2020,25-29,Female,811792.0
2020,25-29,Male,837355.0
2020,30-34,Female,785982.0
2020,30-34,Male,810229.0
2020,35-39,Female,709886.0
2020,35-39,Male,725354.0
2020,40-44,Female,671719.0
2020,40-44,Male,675288.0
2020,45-49,Female,640360.0
2020,45-49,Male,631153.0
2020,5-9,Female,629523.0
2020,5-9,Male,652864.0
2020,50-54,Female,623388.0
2020,50-54,Male,601037.0
2020,55-59,Female,590614.0
2020,55-59,Male,554862.0
2020,60-64,Female,518362.0
2020,60-64,Male,471032.0
2020,65-69,Female,435687.0
2020,65-69,Male,378921.0
2020,70-74,Female,319314.0
2020,70-74,Male,264075.0
2020,75-79,Female,237389.0
2020,75-79,Male,176396.0
2020,80+,Female,350315.0
2020,80+,Male,196519.0
2021,0-4,Female,578263.0
2021,0-4,Male,600632.0
2021,10-14,Female,632388.0
2021,10-14,Male,655232.0
2021,15-19,Female,610954.0
2021,15-19,Male,631851.0
2021,20-24,Female,697050.0
2021,20-24,Male,719079.0
2021,25-29,Female,802756.0
2021,25-29,Male,827115.0
2021,30-34,Female,817367.0
2021,30-34,Male,842111.0
2021,35-39,Female,722171.0
2021,35-39,Male,738934.0
2021,40-44,Female,678365.0
2021,40-44,Male,683807.0
2021,45-49,Female,651942.0
2021,45-49,Male,644339.0
2021,5-9,Female,627814.0
2021,5-9,Male,651336.0
2021,50-54,Female,622931.0
2021,50-54,Male,602079.0
2021,55-59,Female,601133.0
2021,55-59,Male,566471.0
2021,60-64,Female,530360.0
2021,60-64,Male,483184.0
2021,65-69,Female,450783.0
2021,65-69,Male,393552.0
2021,70-74,Female,336455.0
2021,70-74,Male,278885.0
2021,75-79,Female,246241.0
2021,75-79,Male,184713.0
2021,80+,Female,362878.0
2021,80+,Male,205192.0
2022,0-4,Female,577504.0
2022,0-4,Male,599782.0
2022,10-14,Female,637702.0
2022,10-14,Male,660773.0
2022,15-19,Female,605608.0
2022,15-19,Male,626479.0
2022,20-24,Female,678709.0
2022,20-24,Male,700037.0
2022,25-29,Female,785739.0
2022,25-29,Male,808991.0
2022,30-34,Female,835861.0
2022,30-34,Male,860590.0
2022,35-39,Female,732919.0
2022,35-39,Male,750870.0
2022,40-44,Female,686173.0
2022,40-44,Male,693436.0
2022,45-49,Female,661003.0
2022,45-49,Male,655076.0
2022,5-9,Female,620033.0
2022,5-9,Male,643572.0
2022,50-54,Female,622004.0
2022,50-54,Male,602705.0
2022,55-59,Female,608970.0
2022,55-59,Male,575473.0
2022,60-64,Female,542388.0
2022,60-64,Male,495545.0
2022,65-69,Female,464538.0
2022,65-69,Male,406952.0
2022,70-74,Female,354224.0
2022,70-74,Male,294260.0
2022,75-79,Female,256314.0
2022,75-79,Male,194048.0
2022,80+,Female,375896.0
2022,80+,Male,214389.0
2023,0-4,Female,579455.0
2023,0-4,Male,601871.0
2023,10-14,Female,637437.0
2023,10-14,Male,660567.0
2023,15-19,Female,607126.0
2023,15-19,Male,628233.0
2023,20-24,Female,659586.0
2023,20-24,Male,680267.0
2023,25-29,Female,766871.0
2023,25-29,Male,789133.0
2023,30-34,Female,842620.0
2023,30-34,Male,866894.0
2023,35-39,Female,747993.0
2023,35-39,Male,767066.0
2023,40-44,Female,695661.0
2023,40-44,Male,704660.0
2023,45-49,Female,666775.0
2023,45-49,Male,662549.0
2023,5-9,Female,610108.0
2023,5-9,Male,633429.0
2023,50-54,Female,623409.0
2023,50-54,Male,605734.0
2023,55-59,Female,614189.0
2023,55-59,Male,581931.0
2023,60-64,Female,554778.0
2023,60-64,Male,508419.0
2023,65-69,Female,477077.0
2023,65-69,Male,419254.0
2023,70-74,Female,372694.0
2023,70-74,Male,310192.0
2023,75-79,Female,267102.0
2023,75-79,Male,204017.0
2023,80+,Female,389542.0
2023,80+,Male,224250.0
2024,0-4,Female,580776.0
2024,0-4,Male,603305.0
2024,10-14,Female,634559.0
2024,10-14,Male,657714.0
2024,15-19,Female,614278.0
2024,15-19,Male,635804.0
2024,20-24,Female,641616.0
2024,20-24,Male,661712.0
2024,25-29,Female,746460.0
2024,25-29,Male,767831.0
2024,30-34,Female,838059.0
2024,30-34,Male,861519.0
2024,35-39,Female,770683.0
2024,35-39,Male,790820.0
2024,40-44,Female,705304.0
2024,40-44,Male,715861.0
2024,45-49,Female,669888.0
2024,45-49,Male,667483.0
2024,5-9,Female,599322.0
2024,5-9,Male,622349.0
2024,50-54,Female,628569.0
2024,50-54,Male,612505.0
2024,55-59,Female,616599.0
2024,55-59,Male,585699.0
2024,60-64,Female,567088.0
2024,60-64,Male,521387.0
2024,65-69,Female,488891.0
2024,65-69,Male,430924.0
2024,70-74,Female,392267.0
2024,70-74,Male,326872.0
2024,75-79,Female,277579.0
2024,75-79,Male,213855.0
2024,80+,Female,403939.0
2024,80+,Male,234860.0
